dataset_key,dataset,repeat,seed,metric,selected_candidate,validation_metric_value,test_mcc
synth1,synth(1%),7,49,MCC_05,logreg_C0.1,0.0,0.10317453698553039
synth1,synth(1%),8,50,SoftMCC,hgb_d6,0.017735041808230646,-0.007272997298745806
synth1,synth(1%),8,50,MCC_best,hgb_d6,0.18303879416633742,-0.007272997298745806
synth1,synth(1%),8,50,F1_best,hgb_d6,0.19047619047619047,-0.007272997298745806
synth1,synth(1%),8,50,AUPRC,logreg_C0.1,0.12541860947314248,0.17331959659372553
synth1,synth(1%),8,50,AUROC,hgb_d3,0.6726257507507507,0.2002838530200452
synth1,synth(1%),8,50,Brier_neg,logreg_C0.1,-0.012889944859764624,0.17331959659372553
synth1,synth(1%),8,50,MCC_05,logreg_C0.1,0.0,0.17331959659372553
synth1,synth(1%),9,51,SoftMCC,hgb_d6,0.06382643696566691,0.07253641393353095
synth1,synth(1%),9,51,MCC_best,logreg_C10.0,0.1799676821751535,0.07325033822554972
synth1,synth(1%),9,51,F1_best,hgb_d6,0.17391304347826086,0.07253641393353095
synth1,synth(1%),9,51,AUPRC,hgb_d3,0.16293743104967595,0.06842945779008
synth1,synth(1%),9,51,AUROC,hgb_d3,0.7306212462462461,0.06842945779008
synth1,synth(1%),9,51,Brier_neg,hgb_d6,-0.012684258533488615,0.07253641393353095
synth1,synth(1%),9,51,MCC_05,hgb_d6,0.20024138205601358,0.07253641393353095
synth1,synth(1%),10,52,SoftMCC,hgb_d6,0.05513290908362166,0.1673788867794783
synth1,synth(1%),10,52,MCC_best,logreg_C0.1,0.25156527365106285,0.41391557991249617
synth1,synth(1%),10,52,F1_best,logreg_C0.1,0.2608695652173913,0.41391557991249617
synth1,synth(1%),10,52,AUPRC,logreg_C0.1,0.1989257787644205,0.41391557991249617
synth1,synth(1%),10,52,AUROC,logreg_C0.1,0.8269988738738739,0.41391557991249617
synth1,synth(1%),10,52,Brier_neg,logreg_C0.1,-0.012094581835670653,0.41391557991249617
synth1,synth(1%),10,52,MCC_05,hgb_d6,0.2869036107628188,0.1673788867794783
synth1,synth(1%),11,53,SoftMCC,hgb_d3,0.011704631980832136,0.09220078412334816
synth1,synth(1%),11,53,MCC_best,hgb_d6,0.13720630083943913,0.1342262041619045
synth1,synth(1%),11,53,F1_best,hgb_d3,0.13333333333333333,0.09220078412334816
synth1,synth(1%),11,53,AUPRC,hgb_d3,0.05716196468888355,0.09220078412334816
synth1,synth(1%),11,53,AUROC,hgb_d6,0.6966497747747747,0.1342262041619045
synth1,synth(1%),11,53,Brier_neg,hgb_d3,-0.013120471673286581,0.09220078412334816
synth1,synth(1%),11,53,MCC_05,logreg_C0.1,0.0,0.22765187109438836
cc10,creditcard(1%),0,42,SoftMCC,hgb_d6,0.8218264297402762,0.86734325892112
cc10,creditcard(1%),0,42,MCC_best,hgb_d3,0.8948873652557614,0.8661754916010789
cc10,creditcard(1%),0,42,F1_best,hgb_d3,0.8959276018099548,0.8661754916010789
cc10,creditcard(1%),0,42,AUPRC,hgb_d3,0.9227851480636017,0.8661754916010789
cc10,creditcard(1%),0,42,AUROC,logreg_C0.1,0.988342860935724,0.8309722839384078
cc10,creditcard(1%),0,42,Brier_neg,hgb_d6,-0.001331955793598477,0.86734325892112
cc10,creditcard(1%),0,42,MCC_05,hgb_d6,0.934002713570288,0.86734325892112
cc10,creditcard(1%),1,43,SoftMCC,hgb_d6,0.7873533279678259,0.8653589269287101
cc10,creditcard(1%),1,43,MCC_best,hgb_d3,0.8308972436333802,0.8692645922062118
cc10,creditcard(1%),1,43,F1_best,hgb_d3,0.832579185520362,0.8692645922062118
cc10,creditcard(1%),1,43,AUPRC,hgb_d3,0.8611520808088978,0.8692645922062118
cc10,creditcard(1%),1,43,AUROC,logreg_C0.1,0.9680011298214717,0.8455584951465792
cc10,creditcard(1%),1,43,Brier_neg,hgb_d6,-0.0023938137318545395,0.8653589269287101
cc10,creditcard(1%),1,43,MCC_05,hgb_d6,0.8611397263127589,0.8653589269287101
cc10,creditcard(1%),2,44,SoftMCC,hgb_d6,0.8070845217997138,0.869987988348278
cc10,creditcard(1%),2,44,MCC_best,logreg_C10.0,0.9286214558501392,0.8516027565809391
cc10,creditcard(1%),2,44,F1_best,logreg_C10.0,0.9292035398230089,0.8516027565809391
cc10,creditcard(1%),2,44,AUPRC,hgb_d6,0.9307112487691307,0.869987988348278
cc10,creditcard(1%),2,44,AUROC,logreg_C0.1,0.9873625042207084,0.8118738313608777
cc10,creditcard(1%),2,44,Brier_neg,hgb_d3,-0.0014984027739662615,0.8547057633625549
cc10,creditcard(1%),2,44,MCC_05,hgb_d6,0.9080966760996285,0.869987988348278
cc10,creditcard(1%),3,45,SoftMCC,hgb_d6,0.7733323694135159,0.8841884115868717
cc10,creditcard(1%),3,45,MCC_best,hgb_d3,0.8543985282303891,0.8658143552275722
cc10,creditcard(1%),3,45,F1_best,hgb_d3,0.8558558558558559,0.8658143552275722
cc10,creditcard(1%),3,45,AUPRC,logreg_C0.1,0.8620224492643649,0.8744061687645022
cc10,creditcard(1%),3,45,AUROC,logreg_C0.1,0.9757222839015351,0.8744061687645022
cc10,creditcard(1%),3,45,Brier_neg,hgb_d6,-0.002103162742107769,0.8841884115868717
cc10,creditcard(1%),3,45,MCC_05,hgb_d6,0.8816036685492885,0.8841884115868717
cc10,creditcard(1%),4,46,SoftMCC,hgb_d6,0.7657903714199218,0.8290347694924995
cc10,creditcard(1%),4,46,MCC_best,hgb_d6,0.8469624375925875,0.8290347694924995
cc10,creditcard(1%),4,46,F1_best,hgb_d6,0.8484848484848485,0.8290347694924995
cc10,creditcard(1%),4,46,AUPRC,hgb_d6,0.8609317685599859,0.8290347694924995
cc10,creditcard(1%),4,46,AUROC,logreg_C0.1,0.9755616037760849,0.8143555565653147
cc10,creditcard(1%),4,46,Brier_neg,hgb_d6,-0.002321095960421156,0.8290347694924995
cc10,creditcard(1%),4,46,MCC_05,hgb_d3,0.8815801268473591,0.8450244525053568
cc10,creditcard(1%),5,47,SoftMCC,hgb_d3,0.8012859313999411,0.830520034781913
