dataset_key,dataset,repeat,seed,candidate,candidate_index,validation_mccbest_threshold,test_mcc_at_validation_mccbest_threshold,validation_log_loss,validation_ece_10,validation_prob_mean,validation_prob_variance,validation_pos_rate,score_SoftMCC,score_MCC_best,score_F1_best,score_AUPRC,score_AUROC,score_Brier_neg,score_MCC_05
synth1,synth(1%),9,51,logreg_C1.0,1,0.02773224043715847,0.07920986155436748,0.0667296302555635,0.0023807201741394214,0.013011170263841932,0.0003305897267989106,0.013333333333333334,0.015298407418909702,0.15481433659130614,0.14285714285714285,0.05135086058086141,0.7048611111111113,-0.013088558665832025,0.0
synth1,synth(1%),9,51,logreg_C10.0,2,0.027742230347349177,0.07977073991724283,0.066789130454554,0.002165637903688045,0.012994843352583491,0.0003224335982491121,0.013333333333333334,0.014812352307330892,0.1538867539982992,0.13333333333333333,0.049247941065475746,0.7022804054054055,-0.013093287074131762,0.0
synth1,synth(1%),9,51,hgb_d3,3,0.14833693303340947,0.06476502221183073,0.06613023080784321,0.006170468616652112,0.01219319981560251,0.0007357499105469653,0.013333333333333334,0.05299456871053878,0.18303879416633742,0.19047619047619047,0.1953506589647995,0.7460585585585586,-0.012558436493453345,0.0
synth1,synth(1%),9,51,hgb_d6,4,0.18114874815905743,0.18978289827203934,0.06587025560084099,0.00656935914926694,0.013461944493467451,0.0015105133547169667,0.013333333333333334,0.07082881728828133,0.16339987400699876,0.17391304347826086,0.14603479604646188,0.7574136636636637,-0.012793656268350394,0.161346588699283
synth1,synth(1%),10,52,logreg_C0.1,0,0.03612903225806452,0.343370606229657,0.057935217773043744,0.003331810515584139,0.014557857666362474,0.00041016763893112905,0.013333333333333334,0.053487470623264116,0.31106858902204687,0.3125,0.23468310697914002,0.8284534534534533,-0.012097616530456599,0.0
synth1,synth(1%),10,52,logreg_C1.0,1,0.04127906976744186,0.3860893891697412,0.05974494341660156,0.002531272824488259,0.014793852660856862,0.0004649006039544942,0.013333333333333334,0.04758953708432795,0.23986486486486486,0.25,0.1633033441402556,0.8060716966966965,-0.012304635212580989,0.0
synth1,synth(1%),10,52,logreg_C10.0,2,0.03878231859883236,0.3629769575524808,0.06001031770160347,0.0023964532360005314,0.014759807883494933,0.0004836435198141272,0.013333333333333334,0.047024615659931095,0.23986486486486486,0.25,0.16271218210532373,0.8054147897897899,-0.012340401763053838,0.0
synth1,synth(1%),10,52,hgb_d3,3,0.04196169267781135,0.11335491599821403,0.06296172920498179,0.002192314003733219,0.012239521318382395,0.0001638730235225919,0.013333333333333334,0.03589166652672122,0.19097826365056025,0.2,0.17846603483269796,0.7417886636636637,-0.012415338062999373,0.0
synth1,synth(1%),10,52,hgb_d6,4,0.036399072903497684,0.1932681653460935,0.06188279444878097,0.003375092527969537,0.012285100987980736,0.0005496214965046681,0.013333333333333334,0.03491956647131667,0.18349696386387518,0.18181818181818182,0.11735166637438216,0.8062593843843844,-0.012823889854601265,-0.003877075821119173
synth1,synth(1%),11,53,logreg_C0.1,0,0.036375661375661374,0.27318601655091046,0.12286223141908269,0.0025879745481911113,0.012439115524650594,0.00029218854518594194,0.013333333333333334,-0.0006155872524578848,0.03364603523251786,0.04878048780487805,0.01621101497260521,0.5134196696696697,-0.013464195043697972,0.0
