dataset,metric,kendalls_w,bca_lo,bca_hi,ranking_policy,repeat_count
sick_euthyroid(9.3%),Brier,0.7888888888888889,0.7513888888888889,0.8222222222222222,midranks_with_standard_tie_corrected_denominator,12
sick_euthyroid(9.3%),MCC@0.5,0.7534867503486751,0.75,0.7534867503486751,midranks_with_standard_tie_corrected_denominator,12
thyroid_sick(6.1%),SoftMCC,0.8444444444444444,0.8080334172733433,0.8791666666666667,midranks_with_standard_tie_corrected_denominator,12
thyroid_sick(6.1%),MCC@best,0.7744072524407253,0.7513888888888889,0.8149514658427826,midranks_with_standard_tie_corrected_denominator,12
thyroid_sick(6.1%),F1@best,0.7785913528591353,0.7513390894943104,0.8152777777777778,midranks_with_standard_tie_corrected_denominator,12
thyroid_sick(6.1%),AUPRC,0.7694444444444445,0.75,0.7944444444444444,midranks_with_standard_tie_corrected_denominator,12
thyroid_sick(6.1%),AUROC,0.7680555555555556,0.7506277369642957,0.7972222222222223,midranks_with_standard_tie_corrected_denominator,12
thyroid_sick(6.1%),Brier,0.7805555555555556,0.7527777777777778,0.8236111111111111,midranks_with_standard_tie_corrected_denominator,12
thyroid_sick(6.1%),MCC@0.5,0.7702231520223152,0.75,0.8113668061366807,midranks_with_standard_tie_corrected_denominator,12
us_crime(7.5%),SoftMCC,0.7125,0.5846803928265456,0.7791666666666667,midranks_with_standard_tie_corrected_denominator,12
us_crime(7.5%),MCC@best,0.1986111111111111,0.008983634519520056,0.49027777777777776,midranks_with_standard_tie_corrected_denominator,12
us_crime(7.5%),F1@best,0.11673699015471167,0.0038834636574059484,0.31773379812904207,midranks_with_standard_tie_corrected_denominator,12
us_crime(7.5%),AUPRC,0.21388888888888888,0.012048757027566512,0.46111111111111114,midranks_with_standard_tie_corrected_denominator,12
us_crime(7.5%),AUROC,0.3236111111111111,0.09167530124609533,0.4861111111111111,midranks_with_standard_tie_corrected_denominator,12
us_crime(7.5%),Brier,0.2263888888888889,0.05697129028835707,0.40694444444444444,midranks_with_standard_tie_corrected_denominator,12
us_crime(7.5%),MCC@0.5,0.15546218487394958,0.012468028861929721,0.3382157678808748,midranks_with_standard_tie_corrected_denominator,12
wine_quality(3.7%),SoftMCC,0.03194444444444444,0.001388888888888889,0.06527777777777778,midranks_with_standard_tie_corrected_denominator,12
wine_quality(3.7%),MCC@best,0.1105299860529986,0.005399740406089993,0.30974137161728665,midranks_with_standard_tie_corrected_denominator,12
wine_quality(3.7%),F1@best,0.07282913165266107,0.002456083293369808,0.23451300315581783,midranks_with_standard_tie_corrected_denominator,12
wine_quality(3.7%),AUPRC,0.24305555555555555,0.03843831354177984,0.5090130893226349,midranks_with_standard_tie_corrected_denominator,12
wine_quality(3.7%),AUROC,0.75,0.6127519588936304,0.8291666666666667,midranks_with_standard_tie_corrected_denominator,12
wine_quality(3.7%),Brier,0.28194444444444444,0.09861111111111111,0.5437318126946066,midranks_with_standard_tie_corrected_denominator,12
wine_quality(3.7%),MCC@0.5,0.08949275362318841,0.009445333967112148,0.1857682211370441,midranks_with_standard_tie_corrected_denominator,12
yeast_ml8(7.4%),SoftMCC,0.29444444444444445,0.1690404711778254,0.42916666666666664,midranks_with_standard_tie_corrected_denominator,12
yeast_ml8(7.4%),MCC@best,0.2833333333333333,0.10963243193910413,0.41388888888888886,midranks_with_standard_tie_corrected_denominator,12
yeast_ml8(7.4%),F1@best,0.16111111111111112,0.01258554650964126,0.30972222222222223,midranks_with_standard_tie_corrected_denominator,12
yeast_ml8(7.4%),AUPRC,0.04027777777777778,0.001388888888888889,0.06944444444444445,midranks_with_standard_tie_corrected_denominator,12
yeast_ml8(7.4%),AUROC,0.29444444444444445,0.10677230017519729,0.44027777777777777,midranks_with_standard_tie_corrected_denominator,12
yeast_ml8(7.4%),Brier,0.0375,0.0014009882385533341,0.06666666666666667,midranks_with_standard_tie_corrected_denominator,12
yeast_ml8(7.4%),MCC@0.5,0.04700854700854701,0.0,0.13149065661957754,midranks_with_standard_tie_corrected_denominator,12
