dataset_key,dataset,repeat,seed,metric,ranking,selected_candidate
synth5,synth(5%),2,44,MCC_05,hgb_d3>hgb_d6>logreg_C1.0>logreg_C0.1>logreg_C10.0,hgb_d3
synth5,synth(5%),3,45,SoftMCC,hgb_d6>hgb_d3>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d6
synth5,synth(5%),3,45,MCC_best,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth5,synth(5%),3,45,F1_best,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth5,synth(5%),3,45,AUPRC,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth5,synth(5%),3,45,AUROC,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth5,synth(5%),3,45,Brier_neg,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth5,synth(5%),3,45,MCC_05,hgb_d3>hgb_d6>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d3
synth5,synth(5%),4,46,SoftMCC,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth5,synth(5%),4,46,MCC_best,hgb_d3>hgb_d6>logreg_C1.0>logreg_C0.1>logreg_C10.0,hgb_d3
synth5,synth(5%),4,46,F1_best,hgb_d3>hgb_d6>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d3
synth5,synth(5%),4,46,AUPRC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C0.1>logreg_C1.0,hgb_d6
synth5,synth(5%),4,46,AUROC,hgb_d6>hgb_d3>logreg_C0.1>logreg_C10.0>logreg_C1.0,hgb_d6
synth5,synth(5%),4,46,Brier_neg,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth5,synth(5%),4,46,MCC_05,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth5,synth(5%),5,47,SoftMCC,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth5,synth(5%),5,47,MCC_best,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth5,synth(5%),5,47,F1_best,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth5,synth(5%),5,47,AUPRC,hgb_d6>hgb_d3>logreg_C1.0>logreg_C0.1>logreg_C10.0,hgb_d6
synth5,synth(5%),5,47,AUROC,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth5,synth(5%),5,47,Brier_neg,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth5,synth(5%),5,47,MCC_05,hgb_d3>hgb_d6>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d3
synth5,synth(5%),6,48,SoftMCC,hgb_d6>hgb_d3>logreg_C0.1>logreg_C10.0>logreg_C1.0,hgb_d6
synth5,synth(5%),6,48,MCC_best,hgb_d6>hgb_d3>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d6
synth5,synth(5%),6,48,F1_best,hgb_d6>hgb_d3>logreg_C1.0>logreg_C0.1>logreg_C10.0,hgb_d6
synth5,synth(5%),6,48,AUPRC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C0.1>logreg_C1.0,hgb_d6
synth5,synth(5%),6,48,AUROC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
synth5,synth(5%),6,48,Brier_neg,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
synth5,synth(5%),6,48,MCC_05,hgb_d6>hgb_d3>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d6
synth5,synth(5%),7,49,SoftMCC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
synth5,synth(5%),7,49,MCC_best,hgb_d3>hgb_d6>logreg_C0.1>logreg_C10.0>logreg_C1.0,hgb_d3
synth5,synth(5%),7,49,F1_best,hgb_d3>hgb_d6>logreg_C0.1>logreg_C1.0>logreg_C10.0,hgb_d3
synth5,synth(5%),7,49,AUPRC,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
synth5,synth(5%),7,49,AUROC,hgb_d3>hgb_d6>logreg_C1.0>logreg_C10.0>logreg_C0.1,hgb_d3
synth5,synth(5%),7,49,Brier_neg,hgb_d6>hgb_d3>logreg_C10.0>logreg_C1.0>logreg_C0.1,hgb_d6
