dataset_key,dataset,repeat,seed,candidate,validation_brier,validation_log_loss,validation_ece_10,validation_prob_mean,validation_pos_rate
synth1,synth(1%),1,43,hgb_d6,0.012524719543734126,0.11422618999407294,0.0035056116727901275,0.012516027149050597,0.013333333333333334
synth1,synth(1%),2,44,logreg_C0.1,0.013292858808288285,0.07013989364873859,0.001678937691634249,0.01281227095012519,0.013333333333333334
synth1,synth(1%),2,44,logreg_C1.0,0.013217548409231726,0.06971574216759627,0.001572977899933354,0.012915493660793587,0.013333333333333334
synth1,synth(1%),2,44,logreg_C10.0,0.013207270586284679,0.06960201239295732,0.0015653684723097136,0.012910081717180218,0.013333333333333334
synth1,synth(1%),2,44,hgb_d3,0.013255663559039357,0.06519542076489762,0.0017036560643243757,0.01274834695910722,0.013333333333333334
synth1,synth(1%),2,44,hgb_d6,0.012848439416911807,0.06213359259142368,0.0021657410700799138,0.013107314690780724,0.013333333333333334
synth1,synth(1%),3,45,logreg_C0.1,0.013008292665426389,0.06659795338312476,0.0006562677411519648,0.01267706559218137,0.013333333333333334
synth1,synth(1%),3,45,logreg_C1.0,0.013008914012088278,0.06640249410471424,0.0005727515112372537,0.01276058182209608,0.013333333333333334
synth1,synth(1%),3,45,logreg_C10.0,0.013015561160455791,0.0665695898569688,0.0005471182136626996,0.012786215119670635,0.013333333333333334
synth1,synth(1%),3,45,hgb_d3,0.012565367660337837,0.0615668990606758,0.0016106954694948168,0.013218182280435564,0.013333333333333334
synth1,synth(1%),3,45,hgb_d6,0.012763223529054638,0.0614065767472492,0.00022858444320913301,0.013561917776542467,0.013333333333333334
synth1,synth(1%),4,46,logreg_C0.1,0.012973124182038845,0.06232688577519742,0.003425918809444844,0.014770937105471829,0.013333333333333334
synth1,synth(1%),4,46,logreg_C1.0,0.013019828693911367,0.06309965430569735,0.0007297957816516454,0.01406312911498498,0.013333333333333334
synth1,synth(1%),4,46,logreg_C10.0,0.013036920733993488,0.06348896113440923,0.0007305898335727533,0.014063923166906089,0.013333333333333334
synth1,synth(1%),4,46,hgb_d3,0.013514886422887572,0.06440792186250263,0.005560523794444841,0.015733399920251284,0.013333333333333334
synth1,synth(1%),4,46,hgb_d6,0.012568997718479831,0.05802546898290814,0.0007655435131395333,0.01313759038999437,0.013333333333333334
synth1,synth(1%),5,47,logreg_C0.1,0.013259307708984848,0.0705127154295761,0.0016434632228274348,0.01197192139255718,0.013333333333333334
synth1,synth(1%),5,47,logreg_C1.0,0.013329033028488407,0.07107959816658374,0.003834255701654101,0.012259216503009202,0.013333333333333334
synth1,synth(1%),5,47,logreg_C10.0,0.013332433665681731,0.07123259862253192,0.0039338243841359885,0.012185564989663854,0.013333333333333334
synth1,synth(1%),5,47,hgb_d3,0.013313016993852511,0.06903080012173204,0.00506977070600206,0.012823848548844996,0.013333333333333334
synth1,synth(1%),5,47,hgb_d6,0.013563682869388229,0.06361042928405158,0.002887013425283757,0.013850295312024983,0.013333333333333334
synth1,synth(1%),6,48,logreg_C0.1,0.0129344106950809,0.06490557934133566,0.0008920507360810521,0.012441282597252282,0.013333333333333334
synth1,synth(1%),6,48,logreg_C1.0,0.012972470531960363,0.06582365545384318,0.0009723587240817698,0.012360974609251564,0.013333333333333334
synth1,synth(1%),6,48,logreg_C10.0,0.012975264538694874,0.06585021512545802,0.001014397972150135,0.0123189353611832,0.013333333333333334
synth1,synth(1%),6,48,hgb_d3,0.012715260538941876,0.0653642751436849,0.0010762588647141918,0.012707929169473846,0.013333333333333334
synth1,synth(1%),6,48,hgb_d6,0.012529262299554896,0.06199523064608494,0.0009877194465826222,0.012407271186270458,0.013333333333333334
synth1,synth(1%),7,49,logreg_C0.1,0.01321802497848301,0.07024542460261551,0.002721664568083396,0.012963707667198095,0.013333333333333334
synth1,synth(1%),7,49,logreg_C1.0,0.013192935826979384,0.07045291905118534,0.0005465015200249515,0.012786831813308383,0.013333333333333334
synth1,synth(1%),7,49,logreg_C10.0,0.013176669459206558,0.07035420739738715,0.0005992808438525354,0.012734052489480799,0.013333333333333334
synth1,synth(1%),7,49,hgb_d3,0.013197110049665497,0.06828639179037604,0.0027412393282559675,0.012374598447621062,0.013333333333333334
synth1,synth(1%),7,49,hgb_d6,0.013169817102344529,0.0663335436275873,0.002002790396584518,0.013016724294853427,0.013333333333333334
synth1,synth(1%),8,50,logreg_C0.1,0.012889944859764624,0.06582865812331275,0.0005299960122085825,0.012803337321124751,0.013333333333333334
synth1,synth(1%),8,50,logreg_C1.0,0.012907338924566915,0.0667659712405848,0.0009816810690361632,0.012807051355257929,0.013333333333333334
synth1,synth(1%),8,50,logreg_C10.0,0.012928816703202688,0.06666026718900617,0.0009753085329482737,0.012798908373577679,0.013333333333333334
synth1,synth(1%),8,50,hgb_d3,0.01310608340527877,0.06745386745335323,0.0021949252686862663,0.01379942238018965,0.013333333333333334
synth1,synth(1%),8,50,hgb_d6,0.012901972639448114,0.06648553768560174,0.0018531703310978203,0.013191683551643666,0.013333333333333334
synth1,synth(1%),9,51,logreg_C0.1,0.013147854441929362,0.06563203633081573,0.0030022444518648756,0.013356865678186346,0.013333333333333334
synth1,synth(1%),9,51,logreg_C1.0,0.013114648965184971,0.06704862112952756,0.0023404763604195867,0.013060130553228941,0.013333333333333334
synth1,synth(1%),9,51,logreg_C10.0,0.013110607506817074,0.06696166361647543,0.0021509654135249074,0.013011243632895962,0.013333333333333334
synth1,synth(1%),9,51,hgb_d3,0.012728851050760456,0.06666486136657042,0.008451650091974983,0.012088511875730698,0.013333333333333334
synth1,synth(1%),9,51,hgb_d6,0.012684258533488615,0.06718372432617485,0.0046573604409922064,0.013476153095035536,0.013333333333333334
synth1,synth(1%),10,52,logreg_C0.1,0.012094581835670653,0.05785890526744442,0.003305281252038415,0.01453348961162674,0.013333333333333334
synth1,synth(1%),10,52,logreg_C1.0,0.012287651217272166,0.05974873019350655,0.0028770535178578305,0.014677057115208841,0.013333333333333334
synth1,synth(1%),10,52,logreg_C10.0,0.01234147236810603,0.06000921825379665,0.002330081779106785,0.014690388758295328,0.013333333333333334
synth1,synth(1%),10,52,hgb_d3,0.013035539828081994,0.06363041229909268,0.0019407655825938296,0.01251675075727545,0.013333333333333334
synth1,synth(1%),10,52,hgb_d6,0.012295741889931277,0.060768064018924935,0.0034215615167595237,0.012323011728200634,0.013333333333333334
synth1,synth(1%),11,53,logreg_C0.1,0.013465283197153977,0.12309989704052038,0.0026555637693624415,0.012363360857018325,0.013333333333333334
